source,target,link_type,similarity
9d99854f-2ec5-4869-8c4d-819663842201,ceb502db-3368-4fbe-86b2-f8cfb04a3d59,RELATES_TO,0.5431
STARTER-001,e6e33355-fd10-43b9-8c4d-23d783876c4a,RELATES_TO,0.7347
STARTER-002,64d2e12a-d89c-4f71-92e2-e565db5d46eb,RELATES_TO,0.7713
STARTER-002,48d0420d-7862-4226-96c2-124987012b8f,RELATES_TO,0.7288
b01689b6-3d49-4b7a-bcb6-b0f5c17786f4,64d2e12a-d89c-4f71-92e2-e565db5d46eb,RELATES_TO,0.8164
b01689b6-3d49-4b7a-bcb6-b0f5c17786f4,f0087ff3-f56b-455c-8626-78b60f895474,RELATES_TO,0.8131
57ab885a-f38c-4ff6-ab2e-98c113367a1a,8b7d1251-638a-48c1-ab75-44d6e98eebdf,RELATES_TO,0.7215
57ab885a-f38c-4ff6-ab2e-98c113367a1a,6b3c1cd1-a75c-42b0-a961-71ab68cd1ca8,RELATES_TO,0.7195
57ab885a-f38c-4ff6-ab2e-98c113367a1a,4d52717c-432b-46d1-b240-457b82c745b8,RELATES_TO,0.7115
57ab885a-f38c-4ff6-ab2e-98c113367a1a,8cb94233-28bc-4b2a-bea9-2f562d1ff69f,RELATES_TO,0.6707
48d0420d-7862-4226-96c2-124987012b8f,984ec5c1-ebf7-4ee2-b4a1-d54ac5008309,RELATES_TO,0.7952
48d0420d-7862-4226-96c2-124987012b8f,e6e33355-fd10-43b9-8c4d-23d783876c4a,RELATES_TO,0.7315
48d0420d-7862-4226-96c2-124987012b8f,f0087ff3-f56b-455c-8626-78b60f895474,RELATES_TO,0.7274
e6e33355-fd10-43b9-8c4d-23d783876c4a,6b3c1cd1-a75c-42b0-a961-71ab68cd1ca8,RELATES_TO,0.8513
e6e33355-fd10-43b9-8c4d-23d783876c4a,4d52717c-432b-46d1-b240-457b82c745b8,RELATES_TO,0.7795
e6e33355-fd10-43b9-8c4d-23d783876c4a,984ec5c1-ebf7-4ee2-b4a1-d54ac5008309,RELATES_TO,0.6783
6b3c1cd1-a75c-42b0-a961-71ab68cd1ca8,4d52717c-432b-46d1-b240-457b82c745b8,RELATES_TO,0.7976
6b3c1cd1-a75c-42b0-a961-71ab68cd1ca8,8b7d1251-638a-48c1-ab75-44d6e98eebdf,RELATES_TO,0.7213
8b7d1251-638a-48c1-ab75-44d6e98eebdf,8cb94233-28bc-4b2a-bea9-2f562d1ff69f,RELATES_TO,0.7205
